draft_slot,pick_no,picked_by,reactions,roster_id,round,player_name,team_pos,username,team_name
1,1,1141611942496280576,,3,1,Nikola Jokić,"DEN, C",ChedddaBob,FentMachines2:HorseAutism
2,2,1150875537964101632,,11,1,Luka Dončić,"LAL, PG",xonicboom,Fat Slovenian Revenge 
3,3,1130198569467789312,,7,1,Victor Wembanyama,"SAS, C",jpelwell,Kawhi am i winning?
4,4,1122386008709910528,,1,1,Giannis Antetokounmpo,"MIL, PF",popsharky,Chetsteins island 
5,5,1142496328673558528,,4,1,Shai Gilgeous-Alexander,"OKC, PG",BamAddABio,R.I.C.O Harrison
6,6,1149394820675428352,,10,1,Cade Cunningham,"DET, PG",nuggetchef,furries for murray
7,7,1150898281216778240,,12,1,Anthony Edwards,"MIN, SG",GraftonCarlson,Edge til i Combe
8,8,1149090002895323136,,8,1,Domantas Sabonis,"SAC, C",ImReallyHarry,Hasheem Team To Beat
9,9,1136806217688584192,,5,1,Trae Young,"ATL, PG",jstrobe,Go Kart Melo
10,10,1148324770803617792,,6,1,Karl-Anthony Towns,"NYK, C",theadambomb98,KATastrophe Krew
11,11,1142296883147206656,,2,1,Pascal Siakam,"IND, PF",njerickson,Chetinyahu’s Iron Dong
12,12,1129636789460983808,,9,1,Paolo Banchero,"ORL, PF",wags707,(PAO)nd town
12,13,1129636789460983808,,9,2,Alperen Sengun,"HOU, C",wags707,(PAO)nd town
11,14,1142296883147206656,,2,2,Josh Giddey,"CHI, PG",njerickson,Chetinyahu’s Iron Dong
10,15,1148324770803617792,,6,2,Devin Booker,"PHX, SG",theadambomb98,KATastrophe Krew
9,16,1136806217688584192,,5,2,Anthony Davis,"DAL, C",jstrobe,Go Kart Melo
8,17,1149090002895323136,,8,2,James Harden,"LAC, PG",ImReallyHarry,Hasheem Team To Beat
7,18,1150898281216778240,,12,2,LeBron James,"LAL, PF",GraftonCarlson,Edge til i Combe
6,19,1149394820675428352,,10,2,Jaylen Brown,"BOS, SF",nuggetchef,furries for murray
5,20,1142496328673558528,,4,2,Donovan Mitchell,"CLE, SG",BamAddABio,R.I.C.O Harrison
4,21,1122386008709910528,,1,2,Evan Mobley,"CLE, C",popsharky,Chetsteins island 
3,22,1130198569467789312,,7,2,Kevin Durant,"HOU, PF",jpelwell,Kawhi am i winning?
2,23,1150875537964101632,,11,2,Tyrese Maxey,"PHI, PG",xonicboom,Fat Slovenian Revenge 
1,24,1141611942496280576,,3,2,Scottie Barnes,"TOR, PF",ChedddaBob,FentMachines2:HorseAutism
1,25,1141611942496280576,,3,3,Jalen Johnson,"ATL, PF",ChedddaBob,FentMachines2:HorseAutism
2,26,1150875537964101632,,11,3,Bam Adebayo,"MIA, C",xonicboom,Fat Slovenian Revenge 
3,27,1130198569467789312,,7,3,Stephen Curry,"GSW, PG",jpelwell,Kawhi am i winning?
4,28,1122386008709910528,,1,3,Amen Thompson,"HOU, SG",popsharky,Chetsteins island 
5,29,1142496328673558528,,4,3,Jalen Brunson,"NYK, PG",BamAddABio,R.I.C.O Harrison
6,30,1149394820675428352,,10,3,Ivica Zubac,"LAC, C",nuggetchef,furries for murray
7,31,1150898281216778240,,12,3,Jalen Williams,"OKC, SF",GraftonCarlson,Edge til i Combe
8,32,1149090002895323136,,8,3,Franz Wagner,"ORL, SF",ImReallyHarry,Hasheem Team To Beat
9,33,1136806217688584192,,5,3,LaMelo Ball,"CHA, PG",jstrobe,Go Kart Melo
10,34,1148324770803617792,,6,3,Ja Morant,"MEM, PG",theadambomb98,KATastrophe Krew
11,35,1142296883147206656,,2,3,Zion Williamson,"NOP, PF",njerickson,Chetinyahu’s Iron Dong
12,36,1129636789460983808,,9,3,De'Aaron Fox,"SAS, PG",wags707,(PAO)nd town
12,37,1129636789460983808,,9,4,Derrick White,"BOS, SG",wags707,(PAO)nd town
11,38,1142296883147206656,,2,4,Dyson Daniels,"ATL, PG",njerickson,Chetinyahu’s Iron Dong
10,39,1148324770803617792,,6,4,Jaren Jackson,"MEM, C",theadambomb98,KATastrophe Krew
9,40,1136806217688584192,,5,4,Josh Hart,"NYK, SG",jstrobe,Go Kart Melo
8,41,1149090002895323136,,8,4,Jimmy Butler,"GSW, SF",ImReallyHarry,Hasheem Team To Beat
7,42,1150898281216778240,,12,4,Nikola Vučević,"CHI, C",GraftonCarlson,Edge til i Combe
6,43,1149394820675428352,,10,4,Jamal Murray,"DEN, PG",nuggetchef,furries for murray
5,44,1142496328673558528,,4,4,Jalen Green,"PHX, SG",BamAddABio,R.I.C.O Harrison
4,45,1122386008709910528,,1,4,Trey Murphy,"NOP, SF",popsharky,Chetsteins island 
3,46,1130198569467789312,,7,4,DeMar DeRozan,"SAC, SG",jpelwell,Kawhi am i winning?
2,47,1150875537964101632,,11,4,Austin Reaves,"LAL, SG",xonicboom,Fat Slovenian Revenge 
1,48,1141611942496280576,,3,4,Anfernee Simons,"BOS, PG",ChedddaBob,FentMachines2:HorseAutism
1,49,1141611942496280576,,3,5,RJ Barrett,"TOR, SF",ChedddaBob,FentMachines2:HorseAutism
2,50,1150875537964101632,,11,5,Miles Bridges,"CHA, PF",xonicboom,Fat Slovenian Revenge 
3,51,1130198569467789312,,7,5,Kawhi Leonard,"LAC, PF",jpelwell,Kawhi am i winning?
4,52,1122386008709910528,,1,5,Chet Holmgren,"OKC, C",popsharky,Chetsteins island 
5,53,1142496328673558528,,4,5,Deni Avdija,"POR, PF",BamAddABio,R.I.C.O Harrison
6,54,1149394820675428352,,10,5,Julius Randle,"MIN, PF",nuggetchef,furries for murray
7,55,1150898281216778240,,12,5,Brandon Ingram,"TOR, SF",GraftonCarlson,Edge til i Combe
8,56,1149090002895323136,,8,5,Cooper Flagg,"DAL, SF",ImReallyHarry,Hasheem Team To Beat
9,57,1136806217688584192,,5,5,Walker Kessler,"UTA, C",jstrobe,Go Kart Melo
10,58,1148324770803617792,,6,5,Tyler Herro,"MIA, SG",theadambomb98,KATastrophe Krew
11,59,1142296883147206656,,2,5,Jalen Duren,"DET, C",njerickson,Chetinyahu’s Iron Dong
12,60,1129636789460983808,,9,5,Jordan Poole,"NOP, PG",wags707,(PAO)nd town
12,61,1129636789460983808,,9,6,Desmond Bane,"ORL, SG",wags707,(PAO)nd town
11,62,1142296883147206656,,2,6,Coby White,"CHI, SG",njerickson,Chetinyahu’s Iron Dong
10,63,1148324770803617792,,6,6,Jakob Poeltl,"TOR, C",theadambomb98,KATastrophe Krew
9,64,1136806217688584192,,5,6,Rudy Gobert,"MIN, C",jstrobe,Go Kart Melo
8,65,1149090002895323136,,8,6,Joel Embiid,"PHI, C",ImReallyHarry,Hasheem Team To Beat
7,66,1150898281216778240,,12,6,Jarrett Allen,"CLE, C",GraftonCarlson,Edge til i Combe
6,67,1149394820675428352,,10,6,Myles Turner,"MIL, C",nuggetchef,furries for murray
5,68,1142496328673558528,,4,6,Payton Pritchard,"BOS, PG",BamAddABio,R.I.C.O Harrison
4,69,1122386008709910528,,1,6,Alex Sarr,"WAS, C",popsharky,Chetsteins island 
3,70,1130198569467789312,,7,6,OG Anunoby,"NYK, PF",jpelwell,Kawhi am i winning?
2,71,1150875537964101632,,11,6,Mikal Bridges,"NYK, SF",xonicboom,Fat Slovenian Revenge 
1,72,1141611942496280576,,3,6,Zach LaVine,"SAC, SG",ChedddaBob,FentMachines2:HorseAutism
1,73,1141611942496280576,,3,7,Santi Aldama,"MEM, PF",ChedddaBob,FentMachines2:HorseAutism
2,74,1150875537964101632,,11,7,Naz Reid,"MIN, C",xonicboom,Fat Slovenian Revenge 
3,75,1130198569467789312,,7,7,Michael Porter,"BKN, PF",jpelwell,Kawhi am i winning?
4,76,1122386008709910528,,1,7,John Collins,"LAC, PF",popsharky,Chetsteins island 
5,77,1142496328673558528,,4,7,Kristaps Porziņģis,"ATL, C",BamAddABio,R.I.C.O Harrison
6,78,1149394820675428352,,10,7,Brandon Miller,"CHA, SF",nuggetchef,furries for murray
7,79,1150898281216778240,,12,7,Jaden McDaniels,"MIN, SF",GraftonCarlson,Edge til i Combe
8,80,1149090002895323136,,8,7,Darius Garland,"CLE, PG",ImReallyHarry,Hasheem Team To Beat
9,81,1136806217688584192,,5,7,Lauri Markkanen,"UTA, PF",jstrobe,Go Kart Melo
10,82,1148324770803617792,,6,7,Cameron Johnson,"DEN, PF",theadambomb98,KATastrophe Krew
11,83,1142296883147206656,,2,7,Bennedict Mathurin,"IND, SF",njerickson,Chetinyahu’s Iron Dong
12,84,1129636789460983808,,9,7,Mark Williams,"PHX, C",wags707,(PAO)nd town
12,85,1129636789460983808,,9,8,Christian Braun,"DEN, SG",wags707,(PAO)nd town
11,86,1142296883147206656,,2,8,Shaedon Sharpe,"POR, SG",njerickson,Chetinyahu’s Iron Dong
10,87,1148324770803617792,,6,8,Norman Powell,"MIA, SF",theadambomb98,KATastrophe Krew
9,88,1136806217688584192,,5,8,CJ McCollum,"WAS, SG",jstrobe,Go Kart Melo
8,89,1149090002895323136,,8,8,Andrew Nembhard,"IND, SG",ImReallyHarry,Hasheem Team To Beat
7,90,1150898281216778240,,12,8,Ausar Thompson,"DET, SG",GraftonCarlson,Edge til i Combe
6,91,1149394820675428352,,10,8,Cam Thomas,"BKN, SG",nuggetchef,furries for murray
5,92,1142496328673558528,,4,8,Devin Vassell,"SAS, SF",BamAddABio,R.I.C.O Harrison
4,93,1122386008709910528,,1,8,Brandin Podziemski,"GSW, PG",popsharky,Chetsteins island 
3,94,1130198569467789312,,7,8,Deandre Ayton,"LAL, C",jpelwell,Kawhi am i winning?
2,95,1150875537964101632,,11,8,Malik Monk,"SAC, SG",xonicboom,Fat Slovenian Revenge 
1,96,1141611942496280576,,3,8,Isaiah Hartenstein,"OKC, C",ChedddaBob,FentMachines2:HorseAutism
1,97,1141611942496280576,,3,9,D'Angelo Russell,"DAL, PG",ChedddaBob,FentMachines2:HorseAutism
2,98,1150875537964101632,,11,9,Draymond Green,"GSW, PF",xonicboom,Fat Slovenian Revenge 
3,99,1130198569467789312,,7,9,Andrew Wiggins,"MIA, SF",jpelwell,Kawhi am i winning?
4,100,1122386008709910528,,1,9,Matas Buzelis,"CHI, PF",popsharky,Chetsteins island 
5,101,1142496328673558528,,4,9,Tobias Harris,"DET, PF",BamAddABio,R.I.C.O Harrison
6,102,1149394820675428352,,10,9,Paul George,"PHI, SF",nuggetchef,furries for murray
7,103,1150898281216778240,,12,9,Stephon Castle,"SAS, SG",GraftonCarlson,Edge til i Combe
8,104,1149090002895323136,,8,9,Jaden Ivey,"DET, SG",ImReallyHarry,Hasheem Team To Beat
9,105,1136806217688584192,,5,9,Keegan Murray,"SAC, PF",jstrobe,Go Kart Melo
10,106,1148324770803617792,,6,9,Donte DiVincenzo,"MIN, SG",theadambomb98,KATastrophe Krew
11,107,1142296883147206656,,2,9,Immanuel Quickley,"TOR, PG",njerickson,Chetinyahu’s Iron Dong
12,108,1129636789460983808,,9,9,Toumani Camara,"POR, SF",wags707,(PAO)nd town
12,109,1129636789460983808,,9,10,Dejounte Murray,"NOP, PG",wags707,(PAO)nd town
11,110,1142296883147206656,,2,10,Onyeka Okongwu,"ATL, C",njerickson,Chetinyahu’s Iron Dong
10,111,1148324770803617792,,6,10,Kevin Porter,"MIL, PG",theadambomb98,KATastrophe Krew
9,112,1136806217688584192,,5,10,Aaron Gordon,"DEN, PF",jstrobe,Go Kart Melo
8,113,1149090002895323136,,8,10,Ace Bailey,"UTA, SF",ImReallyHarry,Hasheem Team To Beat
7,114,1150898281216778240,,12,10,Donovan Clingan,"POR, C",GraftonCarlson,Edge til i Combe
6,115,1149394820675428352,,10,10,Bobby Portis,"MIL, C",nuggetchef,furries for murray
5,116,1142496328673558528,,4,10,Zach Edey,"MEM, C",BamAddABio,R.I.C.O Harrison
4,117,1122386008709910528,,1,10,Kel'el Ware,"MIA, C",popsharky,Chetsteins island 
3,118,1130198569467789312,,7,10,Keyonte George,"UTA, PG",jpelwell,Kawhi am i winning?
2,119,1150875537964101632,,11,10,Tari Eason,"HOU, PF",xonicboom,Fat Slovenian Revenge 
1,120,1141611942496280576,,3,10,Bradley Beal,"LAC, SG",ChedddaBob,FentMachines2:HorseAutism
1,121,1141611942496280576,,3,11,Jalen Suggs,"ORL, PG",ChedddaBob,FentMachines2:HorseAutism
2,122,1150875537964101632,,11,11,Kyrie Irving,"DAL, PG",xonicboom,Fat Slovenian Revenge 
3,123,1130198569467789312,,7,11,Nic Claxton,"BKN, C",jpelwell,Kawhi am i winning?
4,124,1122386008709910528,,1,11,Aaron Nesmith,"IND, SF",popsharky,Chetsteins island 
5,125,1142496328673558528,,4,11,P.J. Washington,"DAL, PF",BamAddABio,R.I.C.O Harrison
6,126,1149394820675428352,,10,11,Dereck Lively,"DAL, C",nuggetchef,furries for murray
7,127,1150898281216778240,,12,11,Jrue Holiday,"POR, PG",GraftonCarlson,Edge til i Combe
8,128,1149090002895323136,,8,11,Jabari Smith,"HOU, PF",ImReallyHarry,Hasheem Team To Beat
9,129,1136806217688584192,,5,11,Jayson Tatum,"BOS, SF",jstrobe,Go Kart Melo
10,130,1148324770803617792,,6,11,Bilal Coulibaly,"WAS, PF",theadambomb98,KATastrophe Krew
11,131,1142296883147206656,,2,11,Wendell Carter,"ORL, C",njerickson,Chetinyahu’s Iron Dong
12,132,1129636789460983808,,9,11,Scoot Henderson,"POR, PG",wags707,(PAO)nd town
12,133,1129636789460983808,,9,12,Klay Thompson,"DAL, SF",wags707,(PAO)nd town
11,134,1142296883147206656,,2,12,Daniel Gafford,"DAL, C",njerickson,Chetinyahu’s Iron Dong
10,135,1148324770803617792,,6,12,Kyle Kuzma,"MIL, PF",theadambomb98,KATastrophe Krew
9,136,1136806217688584192,,5,12,Collin Sexton,"CHA, SG",jstrobe,Go Kart Melo
8,137,1149090002895323136,,8,12,Zaccharie Risacher,"ATL, SF",ImReallyHarry,Hasheem Team To Beat
7,138,1150898281216778240,,12,12,Yves Missi,"NOP, C",GraftonCarlson,Edge til i Combe
6,139,1149394820675428352,,10,12,Quentin Grimes,"PHI, PG",nuggetchef,furries for murray
5,140,1142496328673558528,,4,12,Jonas Valančiūnas,"DEN, C",BamAddABio,R.I.C.O Harrison
4,141,1122386008709910528,,1,12,Cam Whitmore,"WAS, PF",popsharky,Chetsteins island 
3,142,1130198569467789312,,7,12,Jonathan Kuminga,"GSW, PF",jpelwell,Kawhi am i winning?
2,143,1150875537964101632,,11,12,Brook Lopez,"LAC, C",xonicboom,Fat Slovenian Revenge 
1,144,1141611942496280576,,3,12,Chris Paul,"LAC, PG",ChedddaBob,FentMachines2:HorseAutism
1,145,1141611942496280576,,3,13,Bub Carrington,"WAS, PG",ChedddaBob,FentMachines2:HorseAutism
2,146,1150875537964101632,,11,13,Kelly Oubre,"PHI, PF",xonicboom,Fat Slovenian Revenge 
3,147,1130198569467789312,,7,13,Dennis Schröder,"SAC, PG",jpelwell,Kawhi am i winning?
4,148,1122386008709910528,,1,13,Jared McCain,"PHI, SG",popsharky,Chetsteins island 
5,149,1142496328673558528,,4,13,Jeremy Sochan,"SAS, PF",BamAddABio,R.I.C.O Harrison
6,150,1149394820675428352,,10,13,T.J. McConnell,"IND, PG",nuggetchef,furries for murray
7,151,1150898281216778240,,12,13,Ayo Dosunmu,"CHI, SG",GraftonCarlson,Edge til i Combe
8,152,1149090002895323136,,8,13,Reed Sheppard,"HOU, PG",ImReallyHarry,Hasheem Team To Beat
9,153,1136806217688584192,,5,13,Luguentz Dort,"OKC, SF",jstrobe,Go Kart Melo
10,154,1148324770803617792,,6,13,Cole Anthony,"MIL, PG",theadambomb98,KATastrophe Krew
11,155,1142296883147206656,,2,13,Jaylen Wells,"MEM, SF",njerickson,Chetinyahu’s Iron Dong
12,156,1129636789460983808,,9,13,Jerami Grant,"POR, PF",wags707,(PAO)nd town
12,157,1129636789460983808,,9,14,Clint Capela,"HOU, C",wags707,(PAO)nd town
11,158,1142296883147206656,,2,14,Egor Demin,"BKN, PG",njerickson,Chetinyahu’s Iron Dong
10,159,1148324770803617792,,6,14,Neemias Queta,"BOS, C",theadambomb98,KATastrophe Krew
9,160,1136806217688584192,,5,14,Russell Westbrook,", PG",jstrobe,Go Kart Melo
8,161,1149090002895323136,,8,14,Dylan Harper,"SAS, SG",ImReallyHarry,Hasheem Team To Beat
7,162,1150898281216778240,,12,14,VJ Edgecombe,"PHI, SG",GraftonCarlson,Edge til i Combe
6,163,1149394820675428352,,10,14,Cason Wallace,"OKC, SG",nuggetchef,furries for murray
5,164,1142496328673558528,,4,14,Buddy Hield,"GSW, SG",BamAddABio,R.I.C.O Harrison
4,165,1122386008709910528,,1,14,Dillon Brooks,"PHX, SF",popsharky,Chetsteins island 
3,166,1130198569467789312,,7,14,Caris LeVert,"DET, SG",jpelwell,Kawhi am i winning?
2,167,1150875537964101632,,11,14,Rui Hachimura,"LAL, SF",xonicboom,Fat Slovenian Revenge 
1,168,1141611942496280576,,3,14,Kon Knueppel,"CHA, SF",ChedddaBob,FentMachines2:HorseAutism
